Quand ﻿Quand
PROPN PUNCT
Percy Percy
PROPN PROPN
l' l
PRON PRON
l' '
PRON 
l' '
PRON 
a a
AUX AUX
passé passé
VERB VERB
il il
PRON PRON
y y
PRON PRON
a a
VERB VERB
quinze quinze
NUM NUM
jours jours
NOUN NOUN
seulement seulement
ADV ADV
, ,
PUNCT PUNCT
dit dit
VERB VERB
George George
PROPN PROPN
. .
PUNCT PUNCT
Depuis Depuis
ADV ADP
Depuis Depuis
ADV ADP
, ,
PUNCT PUNCT
chaque chaque
DET DET
matin matin
NOUN NOUN
, ,
PUNCT PUNCT
il il
PRON PRON
descend descend
VERB VERB
l' l'escalier
DET NOUN
escalier l'escalier
NOUN NOUN
en en
ADP ADP
transplanant transplanant
VERB VERB
pour pour
ADP ADP
bien bien
ADV ADV
montrer montrer
VERB VERB
qu' qu'il
SCONJ SCONJ
il qu'il
PRON SCONJ
il qu'il
PRON SCONJ
sait sait
VERB VERB
le le
PRON PRON 
le le
PRON PRON 
faire faire
VERB VERB
. .
PUNCT PUNCT
Des Des
DET DET
pas pas
NOUN NOUN
retentirent retentirent
VERB VERB
dans dans
ADP ADP
le le
DET DET
couloir couloir
NOUN NOUN
et et
CCONJ CCONJ
Hermione Hermione
PROPN PROPN
entra entra
VERB VERB
dans dans
ADP ADP
la la
DET DET
cuisine cuisine
NOUN NOUN
en en
ADP ADP
compagnie compagnie
NOUN NOUN
de de
ADP ADP
Ginny Ginny
PROPN PROPN
. .
PUNCT PUNCT
Toutes Toutes
ADJ ADJ
deux deux
PRON NUM
deux deux
PRON NUM
avaient avaient
VERB VERB
le le
DET DET
teint teint
NOUN NOUN
pâle pâle
ADJ ADJ
et et
CCONJ CCONJ
paraissaient paraissaient
ADJ VERB
paraissaient paraissaient
ADJ VERB
encore encore
ADV ADV
endormies endormies
NOUN ADJ
endormies endormies
NOUN ADJ
. .
PUNCT PUNCT
Ginny Ginny
NOUN PROPN
Ginny Ginny
NOUN PROPN
vint vint
VERB VERB
s' s'asseoir
PRON VERB
asseoir s'asseoir
VERB VERB
à à
ADP ADP
la la
DET DET
table table
NOUN NOUN
en en
ADP ADP
se se
PRON PRON
frottant frottant
VERB VERB
les les
DET DET
yeux yeux
NOUN NOUN
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
Pourquoi Pourquoi
ADV ADV
se se
PRON PRON
lever lever
VERB VERB
si si
SCONJ ADV
si si
SCONJ ADV
tôt tôt
ADV ADV
? ?
PUNCT PUNCT
se se
PRON PRON
plaignit plaignit-elle
VERB VERB
-elle plaignit-elle
PRON VERB
-elle plaignit-elle
PRON VERB
. .
PUNCT PUNCT
– –
PUNCT PUNCT
Il Il
PRON PRON
va va
VERB VERB
falloir falloir
VERB VERB
faire faire
VERB VERB
un un
DET DET
bout bout
NOUN NOUN
de de
ADP ADP
chemin chemin
NOUN NOUN
à à
ADP ADP
pied pied
NOUN NOUN
, ,
PUNCT PUNCT
répondit répondit
VERB VERB
Mr Mr
PROPN NOUN
Mr Mr
PROPN NOUN
Weasley Weasley
PROPN PROPN
. .
PUNCT PUNCT
– –
PROPN PUNCT
– –
PROPN PUNCT
A A
NOUN ADP
A A
NOUN ADP
pied pied
NOUN NOUN
? ?
PUNCT PUNCT
s' s'étonna
PRON VERB
étonna s'étonna
NOUN VERB
étonna s'étonna
NOUN VERB
Harry Harry
PROPN PROPN
. .
PUNCT PUNCT
On On
PRON PRON
va va
VERB VERB
marcher marcher
VERB VERB
pour pour
ADP ADP
aller aller
VERB VERB
à à
ADP ADP
la la
DET DET
Coupe Coupe
NOUN PROPN
Coupe Coupe
NOUN PROPN
du du
ADP ADP
Monde Monde
PROPN PROPN
? ?
PUNCT PUNCT
– –
NOUN PUNCT
– –
NOUN PUNCT
Oh Oh
NOUN INTJ
Oh Oh
NOUN INTJ
non non
ADV ADV
, ,
PUNCT PUNCT
c' c'est
PRON VERB
est c'est
AUX VERB
est c'est
AUX VERB
trop trop
ADV ADV
loin loin
ADV ADV
, ,
PUNCT PUNCT
dit dit
VERB VERB
Mr Mr
PROPN NOUN
Mr Mr
PROPN NOUN
Weasley Weasley
PROPN PROPN
avec avec
ADP ADP
un un
DET DET
sourire sourire
ADJ NOUN
sourire sourire
ADJ NOUN
. .
PUNCT PUNCT
Nous Nous
PRON PRON
n' n'aurons
ADV VERB
aurons n'aurons
VERB VERB
pas pas
ADV ADV
longtemps longtemps
ADV ADV
à à
ADP ADP
marcher marcher
VERB VERB
. .
PUNCT PUNCT
Simplement Simplement
ADV ADV
, ,
PUNCT PUNCT
quand quand
SCONJ SCONJ
un un
DET DET
grand grand
ADJ ADJ
nombre nombre
NOUN NOUN
de de
ADP ADP
sorciers sorciers
ADJ NOUN
sorciers sorciers
ADJ NOUN
se se
PRON PRON
réunissent réunissent
VERB VERB
, ,
PUNCT PUNCT
il il
PRON PRON
est est
AUX AUX
très très
ADV ADV
difficile difficile
ADJ ADJ
de de
ADP ADP
ne ne
ADV ADV
pas pas
ADV ADV
attirer attirer
VERB VERB
l' l'attention
DET NOUN
attention l'attention
NOUN NOUN
des des
ADP ADP
Moldus Moldus
NOUN PROPN
Moldus Moldus
NOUN PROPN
. .
PUNCT PUNCT
Nous Nous
PRON PRON
devons devons
VERB VERB
faire faire
VERB VERB
très très
ADV ADV
attention attention
NOUN NOUN
à à
ADP ADP
la la
DET DET
façon façon
NOUN NOUN
dont dont
PRON PRON
nous nous
PRON PRON
nous nous
PRON PRON
déplaçons déplaçons
VERB VERB
et et
CCONJ CCONJ
lorsqu' lorsqu'il
SCONJ SCONJ
il lorsqu'il
PRON SCONJ
il lorsqu'il
PRON SCONJ
s' s'agit
PRON VERB
agit s'agit
VERB VERB
d' d'un
ADP ADP
un d'un
DET ADP
un d'un
DET ADP
événement événement
NOUN NOUN
aussi aussi
ADV ADV
important important
ADJ ADJ
que que
SCONJ SCONJ
la la
DET DET
Coupe Coupe
NOUN PROPN
Coupe Coupe
NOUN PROPN
du du
ADP ADP
Monde Monde
PROPN PROPN
de de
ADP ADP
Quidditch Quidditch
NOUN PROPN
Quidditch Quidditch
NOUN PROPN
... ...
PUNCT PUNCT
